MODELYEAR,MAKE,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,CO2EMISSIONS
2014,ACURA,2,4,9.9,6.7,8.5,196
2014,ACURA,2.4,4,11.2,7.7,9.6,221
2014,ACURA,1.5,4,6,5.8,5.9,136
2014,ACURA,3.5,6,12.7,9.1,11.1,255
2014,ACURA,3.5,6,12.1,8.7,10.6,244
2014,ACURA,3.5,6,11.9,7.7,10,230
2014,ACURA,3.5,6,11.8,8.1,10.1,232
2014,ACURA,3.7,6,12.8,9,11.1,255
2014,ACURA,3.7,6,13.4,9.5,11.6,267
2014,ACURA,2.4,4,10.6,7.5,9.2,212
2014,ACURA,2.4,4,11.2,8.1,9.8,225
2014,ACURA,3.5,6,12.1,8.3,10.4,239
2014,ASTON MARTIN,5.9,12,18,12.6,15.6,359
2014,ASTON MARTIN,5.9,12,18,12.6,15.6,359
2014,ASTON MARTIN,4.7,8,17.4,11.3,14.7,338
2014,ASTON MARTIN,4.7,8,18.1,12.2,15.4,354
2014,ASTON MARTIN,4.7,8,17.4,11.3,14.7,338
2014,ASTON MARTIN,4.7,8,18.1,12.2,15.4,354
2014,ASTON MARTIN,5.9,12,18,12.6,15.6,359
2014,AUDI,2,4,9.9,7.4,8.8,202
2014,AUDI,2,4,11.5,8.1,10,230
2014,AUDI,2,4,10.8,7.5,9.3,214
2014,AUDI,2,4,11.5,8.1,10,230
2014,AUDI,2,4,11.5,8.1,10,230
2014,AUDI,2,4,10.8,7.5,9.3,214
2014,AUDI,2,4,12,8.1,10.2,235
2014,AUDI,3,6,12.8,8.6,10.9,251
2014,AUDI,3,6,9.8,6.4,8.3,224
2014,AUDI,3,6,13.1,8.8,11.2,258
2014,AUDI,3,6,9.8,6.4,8.3,224
2014,AUDI,3,6,13.1,8.8,11.2,258
2014,AUDI,4,8,13.5,8.6,11.3,260
2014,AUDI,3,6,10,6.4,8.4,227
2014,AUDI,3,6,13.1,8.8,11.2,258
2014,AUDI,4,8,14.7,9.7,12.5,288
2014,AUDI,6.3,12,18.2,12.6,15.7,361
2014,AUDI,3,6,10.1,6.5,8.5,230
2014,AUDI,2,4,11.8,8.8,10.5,242
2014,AUDI,2,4,12,8.5,10.4,239
2014,AUDI,3,6,12.9,9.2,11.2,258
2014,AUDI,2,4,9.9,8.3,9.2,212
2014,AUDI,3,6,10.3,7.6,9.1,246
2014,AUDI,3,6,15.1,10.9,13.2,304
2014,AUDI,3,6,12.9,8.4,10.9,294
